			State	Turnout Rates		
1992	22	15	Indiana	56.4	55.4	54.5
1992	31	16	Iowa	66.1	65.8	64.5
1992	32	17	Kansas	64.1	63.9	62.3
1992	51	18	Kentucky		53.8	53.0
1992	45	19	Louisiana	60.0	59.7	58.4
1992	2	20	Maine		74.3	73.1
1992	52	21	Maryland	58.1	57.7	53.7
1992	3	22	Massachusetts	64.9	63.8	59.8
1992	23	23	Michigan	64.0	63.0	61.1
1992	33	24	Minnesota	73.9	73.7	71.2
1992	46	25	Mississippi	54.3	52.9	52.2
1992	34	26	Missouri		63.1	61.6
1992	64	27	Montana	70.4	69.2	68.5
1992	35	28	Nebraska	64.8	64.2	62.6
1992	65	29	Nevada	54.6	53.9	49.3
1992	4	30	New Hampshire	67.0	66.1	64.5
1992	12	31	New Jersey	62.0	61.9	55.7
1992	66	32	New Mexico	55.0	53.1	50.4
1992	13	33	New York	57.8	56.6	50.2
1992	47	34	North Carolina		51.4	49.7
1992	36	35	North Dakota	68.1	66.6	66.0
1992	24	36	Ohio	62.5	61.3	60.2
1992	53	37	Oklahoma	63.5	60.6	58.8
1992	72	38	Oregon	69.9	68.2	65.3
1992	14	39	Pennsylvania		54.9	53.9
1992	5	40	Rhode Island		62.8	58.2
1992	48	41	South Carolina	47.3	46.1	44.8
1992	37	42	South Dakota		66.7	66.1
1992	54	43	Tennessee		53.2	52.0
1992	49	44	Texas		54.2	48.3
1992	67	45	Utah	67.5	64.0	61.8
1992	6	46	Vermont	69.7	69.0	67.9
1992	40	47	Virginia		55.4	52.7
1992	73	48	Washington	65.0	64.0	59.8
1992	56	49	West Virginia		50.1	49.6
1992	25	50	Wisconsin		69.9	68.2
1992	68	51	Wyoming	62.8	61.9	60.6
1990	0	0	United States	0.0	38.4	36.5
1990	41	1	Alabama		41.1	40.4
1990	81	2	Alaska	54.2	53.4	51.3
1990	61	3	Arizona	43.4	41.8	39.0
1990	42	4	Arkansas		40.7	39.9
1990	71	5	California	43.5	42.4	34.9
1990	62	6	Colorado	44.2	43.2	41.8
1990	1	7	Connecticut	48.6	47.9	45.0
1990	11	8	Delaware	37.8	37.0	35.5
1990	55	9	District of Columbia	38.9	38.3	34.5
1990	43	10	Florida		38.6	34.8
1990	44	11	Georgia		31.6	30.2
1990	82	12	Hawaii	45.9	45.4	41.7
1990	63	13	Idaho	47.6	46.5	45.3
1990	21	14	Illinois	42.6	40.6	38.2
1990	22	15	Indiana	38.4	36.8	36.3
1990	31	16	Iowa	49.5	48.4	47.6
1990	32	17	Kansas	45.2	44.1	43.2
1990	51	18	Kentucky		33.6	33.2
1990	45	19	Louisiana		47.2	46.2
1990	2	20	Maine		57.3	56.5
1990	52	21	Maryland	34.5	32.7	30.6
1990	3	22	Massachusetts	55.3	53.4	50.3
1990	23	23	Michigan	39.5	38.3	37.3
1990	33	24	Minnesota	58.8	57.6	56.0
1990	46	25	Mississippi		20.2	19.9
1990	34	26	Missouri		36.2	35.4
1990	64	27	Montana	57.0	55.7	55.1
1990	35	28	Nebraska	53.4	52.5	51.4
1990	65	29	Nevada	38.0	37.4	34.6
1990	4	30	New Hampshire	37.8	36.2	35.4
1990	12	31	New Jersey	36.8	35.7	32.6
1990	66	32	New Mexico	41.8	40.0	38.2
1990	13	33	New York	35.0	33.1	29.5
1990	47	34	North Carolina		41.9	40.8
1990	36	35	North Dakota	52.0	50.7	50.2
1990	24	36	Ohio	45.4	43.6	42.9
1990	53	37	Oklahoma	41.3	40.5	39.4
1990	72	38	Oregon	55.1	54.1	52.1
1990	14	39	Pennsylvania		34.1	33.5
1990	5	40	Rhode Island	51.7	50.2	46.6
1990	48	41	South Carolina	31.3	30.0	29.3
1990	37	42	South Dakota		52.3	51.9
1990	54	43	Tennessee		21.8	21.4
1990	49	44	Texas		35.3	31.8
1990	67	45	Utah	42.2	40.7	39.6
1990	6	46	Vermont	52.3	50.9	50.1
1990	40	47	Virginia		25.5	24.5
1990	73	48	Washington	39.8	38.4	36.1
1990	56	49	West Virginia		30.0	29.8
1990	25	50	Wisconsin		39.0	38.1
1990	68	51	Wyoming	52.5	51.2	50.2
1988	0	0	United States	0.0	52.8	50.3
1988	41	1	Alabama		47.5	46.7
1988	81	2	Alaska	57.3	56.4	54.2
1988	61	3	Arizona	49.1	47.7	44.9
1988	42	4	Arkansas		49.0	48.2
1988	71	5	California	57.5	55.7	46.5
1988	62	6	Colorado	60.8	59.0	57.3
1988	1	7	Connecticut	61.4	60.7	57.2
1988	11	8	Delaware	54.0	52.9	51.0
1988	55	9	District of Columbia	43.5	42.5	38.4
1988	43	10	Florida		49.0	44.6
1988	44	11	Georgia		40.6	39.1
1988	82	12	Hawaii	49.8	47.9	44.1
1988	63	13	Idaho	63.1	61.3	59.9
1988	21	14	Illinois	59.1	57.3	54.2
1988	22	15	Indiana	55.6	54.3	53.6
1988	31	16	Iowa	61.4	60.6	59.7
1988	32	17	Kansas		56.0	54.9
1988	51	18	Kentucky		49.3	48.8
1988	45	19	Louisiana		55.4	54.2
1988	2	20	Maine		62.5	61.5
1988	52	21	Maryland	52.5	51.6	48.5
1988	3	22	Massachusetts	61.3	60.0	56.7
1988	23	23	Michigan	56.7	55.5	54.2
1988	33	24	Minnesota	68.8	67.9	66.2
1988	46	25	Mississippi		52.0	51.3
1988	34	26	Missouri		56.6	55.5
1988	64	27	Montana	66.7	64.4	63.7
1988	35	28	Nebraska	60.3	58.8	57.8
1988	65	29	Nevada	46.1	45.6	42.5
1988	4	30	New Hampshire	57.8	56.4	55.2
1988	12	31	New Jersey	57.1	57.0	52.5
1988	66	32	New Mexico	53.4	52.0	49.8
1988	13	33	New York	54.0	52.7	47.5
1988	47	34	North Carolina		44.5	43.5
1988	36	35	North Dakota	66.2	63.7	63.2
1988	24	36	Ohio	57.3	55.8	55.0
1988	53	37	Oklahoma	53.1	52.1	50.9
1988	72	38	Oregon	62.3	60.6	58.5
1988	14	39	Pennsylvania		51.0	50.2
1988	5	40	Rhode Island	57.6	56.1	52.5
1988	48	41	South Carolina	42.5	40.2	39.4
1988	37	42	South Dakota		63.4	62.9
1988	54	43	Tennessee		46.1	45.3
1988	49	44	Texas		50.1	45.7
1988	67	45	Utah	63.4	62.0	60.5
1988	6	46	Vermont	66.7	60.1	59.2
1988	40	47	Virginia		49.8	47.9
1988	73	48	Washington	58.6	56.8	53.8
1988	56	49	West Virginia		48.5	48.1
1988	25	50	Wisconsin		62.8	61.6
1988	68	51	Wyoming	59.2	56.0	55.1
1986	0	0	United States	0.0	38.1	36.5
1986	41	1	Alabama		43.1	42.5
1986	81	2	Alaska	51.9	51.4	49.6
1986	61	3	Arizona	38.4	37.4	35.3
1986	42	4	Arkansas		41.4	40.8
1986	71	5	California	44.4	43.4	36.8
1986	62	6	Colorado	47.5	45.9	44.7
1986	1	7	Connecticut	43.7	42.4	40.1
1986	11	8	Delaware	36.3	35.3	34.1
1986	55	9	District of Columbia	28.8	28.3	25.9
1986	43	10	Florida		40.9	37.5
1986	44	11	Georgia		28.5	27.5
1986	82	12	Hawaii	48.1	46.7	43.1
1986	63	13	Idaho	59.3	58.4	57.2
1986	21	14	Illinois	42.0	39.7	37.7
1986	22	15	Indiana	41.1	39.4	39.0
1986	31	16	Iowa	45.6	45.1	44.4
1986	32	17	Kansas		47.8	47.0
1986	51	18	Kentucky		25.5	25.2
1986	45	19	Louisiana		45.4	44.6
1986	2	20	Maine		49.7	49.0
1986	52	21	Maryland	36.1	34.6	32.7
1986	3	22	Massachusetts	41.1	38.9	36.9
1986	23	23	Michigan	37.8	36.8	35.9
1986	33	24	Minnesota	48.2	46.8	45.8
1986	46	25	Mississippi		29.4	29.0
1986	34	26	Missouri		40.4	39.7
1986	64	27	Montana	57.1	55.6	55.0
1986	35	28	Nebraska	51.5	50.3	49.5
1986	65	29	Nevada	37.8	37.4	35.1
1986	4	30	New Hampshire	33.8	33.0	32.4
1986	12	31	New Jersey	30.4	28.8	26.7
1986	66	32	New Mexico	41.4	40.0	38.5
1986	13	33	New York	36.5	35.0	31.8
1986	47	34	North Carolina		34.2	33.5
1986	36	35	North Dakota	62.3	61.0	60.5
1986	24	36	Ohio	46.6	40.1	39.6
1986	53	37	Oklahoma	40.8	39.7	38.8
1986	72	38	Oregon	56.4	54.9	53.2
1986	14	39	Pennsylvania		38.4	37.8
1986	5	40	Rhode Island	45.4	43.0	40.4
1986	48	41	South Carolina	31.9	31.5	30.9
1986	37	42	South Dakota		60.1	59.7
1986	54	43	Tennessee		34.8	34.3
1986	49	44	Texas		31.9	29.3
1986	67	45	Utah	43.5	42.5	41.5
1986	6	46	Vermont	54.3	50.5	49.7
1986	40	47	Virginia		29.1	28.1
1986	73	48	Washington	43.1	42.4	40.4
1986	56	49	West Virginia	32.8	29.9	29.7
1986	25	50	Wisconsin		44.5	43.7
1986	68	51	Wyoming	51.3	50.1	49.3
1984	0	0	United States	0.0	55.2	53.3
1984	41	1	Alabama		50.9	50.3
1984	81	2	Alaska	62.1	60.5	58.6
1984	61	3	Arizona	48.9	47.7	45.3
1984	42	4	Arkansas		53.0	52.3
1984	71	5	California	58.9	57.2	49.3
1984	62	6	Colorado	59.2	57.1	55.7
1984	1	7	Connecticut	64.8	63.8	60.3
1984	11	8	Delaware	58.4	57.5	55.9
1984	55	9	District of Columbia	46.5	44.8	41.8
1984	43	10	Florida		52.4	48.3
1984	44	11	Georgia		43.1	41.9
1984	82	12	Hawaii	50.3	48.4	44.7
1984	63	13	Idaho	63.7	62.0	60.8
1984	21	14	Illinois	62.7	60.8	57.9
1984	22	15	Indiana	57.9	57.0	56.4
1984	31	16	Iowa	65.1	64.1	63.3
1984	32	17	Kansas		58.4	57.4
1984	51	18	Kentucky		51.8	51.2
1984	45	19	Louisiana		56.5	55.6
1984	2	20	Maine		65.8	64.9
1984	52	21	Maryland	54.5	53.8	51.1
1984	3	22	Massachusetts	60.7	59.9	57.0
1984	23	23	Michigan	60.6	59.3	58.0
1984	33	24	Minnesota	70.9	69.9	68.6
1984	46	25	Mississippi		53.3	52.7
1984	34	26	Missouri		58.7	57.8
1984	64	27	Montana	68.2	66.4	65.8
1984	35	28	Nebraska	59.1	57.5	56.6
1984	65	29	Nevada	44.8	43.6	41.1
1984	4	30	New Hampshire	56.6	54.1	53.1
1984	12	31	New Jersey	60.5	60.5	56.5
1984	66	32	New Mexico	54.6	53.8	51.9
1984	13	33	New York	57.2	55.6	50.9
1984	47	34	North Carolina		48.2	47.3
1984	36	35	North Dakota	67.2	64.0	63.5
1984	24	36	Ohio	60.3	58.8	58.0
1984	53	37	Oklahoma	55.5	54.0	52.9
1984	72	38	Oregon	66.4	64.3	62.5
1984	14	39	Pennsylvania		55.1	54.3
1984	5	40	Rhode Island	60.6	58.8	55.5
1984	48	41	South Carolina	43.7	41.6	40.9
1984	37	42	South Dakota		64.3	63.8
1984	54	43	Tennessee		50.1	49.4
1984	49	44	Texas		51.0	47.4
1984	67	45	Utah	64.3	63.0	61.6
1984	6	46	Vermont	61.6	61.5	60.5
1984	40	47	Virginia		52.4	50.7
1984	73	48	Washington	62.9	61.3	58.6
1984	56	49	West Virginia		52.9	52.5
1984	25	50	Wisconsin		64.9	63.8
1984	68	51	Wyoming	57.9	55.8	54.9
1982	0	0	United States (Excl. Louisiana)	0.0	42.1	40.7
1982	41	1	Alabama		40.6	40.1
1982	81	2	Alaska	64.9	63.4	61.5
1982	61	3	Arizona	36.8	36.0	34.4
1982	42	4	Arkansas		48.1	47.6
1982	71	5	California	49.9	48.7	42.7
1982	62	6	Colorado	47.3	43.5	42.5
1982	1	7	Connecticut	49.4	48.1	45.7
1982	11	8	Delaware	45.5	44.4	43.3
1982	55	9	District of Columbia		25.0	23.5
1982	43	10	Florida		35.5	33.0
1982	44	11	Georgia		29.6	28.9
1982	82	12	Hawaii	48.5	46.5	43.1
1982	63	13	Idaho	51.1	50.2	49.3
1982	21	14	Illinois	48.8	46.5	44.3
1982	22	15	Indiana	47.3	46.8	46.3
1982	31	16	Iowa	50.8	50.2	49.6
1982	32	17	Kansas		44.0	43.3
1982	51	18	Kentucky		26.8	26.5
1982	45	19	Louisiana			
1982	2	20	Maine		56.3	55.5
1982	52	21	Maryland	39.2	37.5	35.9
1982	3	22	Massachusetts	50.3	49.0	46.9
1982	23	23	Michigan	49.3	47.8	46.8
1982	33	24	Minnesota	62.3	61.3	60.3
1982	46	25	Mississippi		37.0	36.6
1982	34	26	Missouri		43.3	42.7
1982	64	27	Montana	57.6	56.4	55.9
1982	35	28	Nebraska	49.6	48.5	47.8
1982	65	29	Nevada	39.1	38.7	36.7
1982	4	30	New Hampshire	42.1	41.2	40.5
1982	12	31	New Jersey	43.8	42.0	39.4
1982	66	32	New Mexico	45.5	44.3	42.9
1982	13	33	New York	44.9	43.4	40.0
1982	47	34	North Carolina		30.4	29.8
1982	36	35	North Dakota	57.2	55.0	54.6
1982	24	36	Ohio	46.2	44.1	43.6
1982	53	37	Oklahoma	39.1	38.4	37.6
1982	72	38	Oregon	56.1	55.0	53.5
1982	14	39	Pennsylvania		42.1	41.5
1982	5	40	Rhode Island	54.2	50.0	47.4
1982	48	41	South Carolina	30.4	29.7	29.2
1982	37	42	South Dakota		56.9	56.6
1982	54	43	Tennessee		37.5	37.1
1982	49	44	Texas		31.2	29.2
1982	67	45	Utah	55.8	55.1	53.9
1982	6	46	Vermont	46.1	45.4	44.6
1982	40	47	Virginia		35.7	34.7
1982	73	48	Washington	46.8	45.6	43.6
1982	56	49	West Virginia		40.4	40.1
1982	25	50	Wisconsin		46.9	46.1
1982	68	51	Wyoming	50.0	49.0	48.3
1980	0	0	United States	0.0	54.2	52.6
1980	41	1	Alabama		49.2	48.7
1980	81	2	Alaska	60.2	58.7	57.1
1980	61	3	Arizona	47.5	46.2	44.4
1980	42	4	Arkansas		52.0	51.5
1980	71	5	California	56.2	55.0	48.9
1980	62	6	Colorado	59.1	57.2	55.9
1980	1	7	Connecticut	64.7	63.9	61.0
1980	11	8	Delaware	56.8	56.0	54.7
1980	55	9	District of Columbia	37.9	37.2	35.3
1980	43	10	Florida		52.0	48.7
1980	44	11	Georgia		42.1	41.3
1980	82	12	Hawaii	49.2	46.9	43.6
1980	63	13	Idaho	70.4	69.0	67.9
1980	21	14	Illinois	61.9	60.4	57.8
1980	22	15	Indiana	59.2	58.3	57.7
1980	31	16	Iowa	63.5	63.6	62.9
1980	32	17	Kansas		57.5	56.8
1980	51	18	Kentucky		50.5	49.9
1980	45	19	Louisiana		54.0	53.2
1980	2	20	Maine		65.4	64.6
1980	52	21	Maryland	52.5	52.0	50.0
1980	3	22	Massachusetts	62.4	61.4	59.0
1980	23	23	Michigan	62.4	61.3	60.0
1980	33	24	Minnesota	72.1	71.2	70.0
1980	46	25	Mississippi		52.4	51.9
1980	34	26	Missouri		59.5	58.8
1980	64	27	Montana	67.1	65.6	65.1
1980	35	28	Nebraska	58.4	57.5	56.7
1980	65	29	Nevada	51.9	43.3	41.1
1980	4	30	New Hampshire	60.9	58.1	57.2
1980	12	31	New Jersey	58.5	58.1	54.9
1980	66	32	New Mexico	53.2	52.3	50.9
1980	13	33	New York	53.0	51.7	48.0
1980	47	34	North Carolina		44.1	43.4
1980	36	35	North Dakota	68.0	65.2	64.8
1980	24	36	Ohio	57.3	56.1	55.4
1980	53	37	Oklahoma	54.2	53.2	52.2
1980	72	38	Oregon	64.3	62.8	61.4
1980	14	39	Pennsylvania		52.6	52.0
1980	5	40	Rhode Island	62.7	61.6	58.6
1980	48	41	South Carolina	42.4	41.1	40.4
1980	37	42	South Dakota		67.7	67.3
1980	54	43	Tennessee		49.2	48.8
1980	49	44	Texas		47.4	44.9
1980	67	45	Utah	66.6	66.0	64.6
1980	6	46	Vermont	59.3	58.7	57.8
1980	40	47	Virginia		48.7	47.5
1980	73	48	Washington	60.6	59.6	57.4
1980	56	49	West Virginia	53.5	53.2	52.8
1980	25	50	Wisconsin		68.4	67.4
1980	68	51	Wyoming	55.4	54.1	53.4
